Image,Ground_Truth,Prediction,Confidence,Is_Correct,Top_2_Guess,Prob_metal,Prob_organic,Prob_paper,Prob_plastic
test_9_jpg.rf.02157de86b33a67fc09171640de2c739.jpg,metal,organic,68.06,False,metal (12.83%),0.1283,0.6806,0.1027,0.0884
test_8_jpg.rf.6b3fa747e46ea64077bb1aec65ed02b8.jpg,metal,plastic,71.04,False,organic (14.39%),0.1091,0.1439,0.0366,0.7104
test_8_jpg.rf.6b3fa747e46ea64077bb1aec65ed02b8.jpg,metal,metal,96.46,True,plastic (2.17%),0.9646,0.0052,0.0086,0.0217
test_24_jpg.rf.4835abf8d18562f92ab1e888985ff2a7.jpg,metal,metal,75.17,True,plastic (10.01%),0.7517,0.0873,0.0609,0.1001
test_25_jpg.rf.98505e7b42888ecf221ca967217cdb3c.jpg,metal,metal,94.85,True,plastic (2.98%),0.9485,0.0061,0.0156,0.0298
test_12_jpg.rf.96ff16da191bf7b5045464f86c7b4ed5.jpg,metal,metal,33.93,True,plastic (32.13%),0.3393,0.0551,0.2844,0.3213
test_15_jpg.rf.536f3f9583eb48df374f7f2beb9f3acb.jpg,metal,metal,85.02,True,plastic (11.41%),0.8502,0.0134,0.0223,0.1141
test_19_jpg.rf.92354a6145029e374714bb22841ab025.jpg,metal,metal,41.74,True,paper (22.58%),0.4174,0.2044,0.2258,0.1524
test_11_jpg.rf.0687e7c54dcc3a0770979154e8054d95.jpg,metal,metal,94.71,True,plastic (3.58%),0.9471,0.0072,0.0099,0.0358
test_11_jpg.rf.0687e7c54dcc3a0770979154e8054d95.jpg,metal,metal,88.43,True,plastic (7.8%),0.8843,0.0127,0.0249,0.078
test_17_jpg.rf.9ef4fedf4d13a9f8d5cc99605a7389e3.jpg,metal,metal,48.18,True,plastic (24.64%),0.4818,0.0378,0.234,0.2464
test_22_jpg.rf.58a80f375bd0983ee8bf489c3bafa491.jpg,metal,metal,91.61,True,plastic (6.11%),0.9161,0.0097,0.0131,0.0611
test_28_jpg.rf.3d7db8c6e56a341949edaac5258c90b9.jpg,metal,metal,97.11,True,plastic (1.66%),0.9711,0.0047,0.0076,0.0166
test_30_jpg.rf.6ab3723c63a58a406434ce105a6690a5.jpg,metal,metal,97.2,True,plastic (1.62%),0.972,0.0046,0.0072,0.0162
